Día,Fecha,Temperatura,Humedad,Presión
1,0,-6,80,724
1,1,2,49,723
1,2,41,15,872
1,3,11,21,654
1,4,25,36,734
1,5,5,91,804
1,6,37,8,805
1,7,30,44,623
1,8,-6,80,727
1,9,7,73,807
1,10,22,10,832
1,11,25,39,941
1,12,34,13,949
1,13,41,63,920
1,14,-2,36,635
1,15,37,84,628
1,16,47,13,738
1,17,30,91,860
1,18,46,99,630
1,19,49,6,979
1,20,49,76,629
1,21,-3,100,1006
1,22,-9,34,902
1,23,0,66,852
2,0,21,79,838
2,1,41,64,902
2,2,-5,91,757
2,3,-9,61,1004
2,4,-2,54,1001
2,5,21,50,647
2,6,19,30,686
2,7,-6,3,654
2,8,-7,40,691
2,9,47,28,936
2,10,21,13,627
2,11,32,32,608
2,12,50,45,693
2,13,37,0,888
2,14,21,71,924
2,15,49,25,632
2,16,15,42,612
2,17,27,35,635
2,18,36,0,763
2,19,20,24,945
2,20,-2,49,802
2,21,-8,33,755
2,22,7,17,820
2,23,-6,39,993
3,0,-7,10,950
3,1,38,50,912
3,2,24,51,756
3,3,25,99,999
3,4,16,40,1010
3,5,18,30,728
3,6,0,76,774
3,7,27,88,751
3,8,-8,41,803
3,9,24,40,975
3,10,-1,16,730
3,11,26,29,734
3,12,10,43,830
3,13,-1,54,996
3,14,-7,81,778
3,15,32,54,755
3,16,28,93,658
3,17,-3,97,972
3,18,35,69,804
3,19,-8,23,769
3,20,48,51,654
3,21,-8,58,723
3,22,-7,84,796
3,23,39,95,715
4,0,10,20,806
4,1,45,72,862
4,2,-1,66,987
4,3,26,11,717
4,4,48,0,910
4,5,29,79,916
4,6,-7,61,850
4,7,0,11,922
4,8,17,59,765
4,9,36,75,690
4,10,-9,80,737
4,11,37,31,923
4,12,23,9,601
4,13,47,15,752
4,14,-7,43,651
4,15,-10,14,838
4,16,19,75,718
4,17,11,8,932
4,18,29,7,655
4,19,29,14,796
4,20,30,30,938
4,21,34,52,905
4,22,36,70,713
4,23,1,82,1007
5,0,5,2,777
5,1,3,93,669
5,2,5,93,960
5,3,-9,55,797
5,4,23,54,906
5,5,3,96,610
5,6,3,11,976
5,7,8,92,610
5,8,7,19,842
5,9,9,65,840
5,10,50,8,922
5,11,13,4,847
5,12,3,58,1005
5,13,13,36,921
5,14,24,72,888
5,15,5,5,925
5,16,31,41,865
5,17,46,82,633
5,18,-6,88,600
5,19,1,16,720
5,20,5,97,997
5,21,28,22,922
5,22,14,1,718
5,23,27,8,832
6,0,18,62,605
6,1,4,3,963
6,2,46,94,979
